titulo,conteudo,topicos,cnaeGroups,lei,artigo,area,severidade_base,vigencia_inicio
Apuração do IBS por regime de competência,"A empresa apura o IBS pelo regime de competência conforme exigido pelo art. 9º da LC 214/2025?",ibs;competencia;apuracao,[],solaris,SOL-013,contabilidade_fiscal,alta,
Segregação contábil IBS x CBS,"Existe conta contábil segregada para IBS e CBS conforme orientação do CFC para a Reforma Tributária?",ibs;cbs;segregacao;contabilidade,[],solaris,SOL-014,contabilidade_fiscal,alta,
Cadastro no Comitê Gestor do IBS,"A empresa está cadastrada no Comitê Gestor do IBS conforme prazo definido na LC 214/2025?",ibs;cadastro;comite_gestor,[],solaris,SOL-015,juridico,critica,2026-01-01
Alíquota de referência IBS,"A empresa conhece a alíquota de referência do IBS aplicável ao seu setor para 2026?",ibs;aliquota;referencia,[],solaris,SOL-016,contabilidade_fiscal,media,
Crédito de IBS sobre insumos,"A empresa tem processo documentado para aproveitamento de créditos de IBS sobre insumos adquiridos?",ibs;credito;insumos;aproveitamento,[],solaris,SOL-017,contabilidade_fiscal,alta,
Emissão de NF-e com CBS e IBS,"O sistema de emissão de NF-e da empresa já suporta os campos de CBS e IBS exigidos pela NT 2025.001?",cbs;ibs;nfe;sistema,[],solaris,SOL-018,ti,critica,2026-04-01
Integração ERP com Sped Fiscal,"O ERP da empresa está integrado com o Sped Fiscal para escrituração separada de IBS e CBS?",erp;sped;integracao;ibs;cbs,[],solaris,SOL-019,ti,alta,
Treinamento da equipe fiscal,"A equipe fiscal recebeu treinamento sobre as novas obrigações da Reforma Tributária (IBS, CBS, IS)?",treinamento;equipe;reforma_tributaria,[],solaris,SOL-020,negocio,media,
Mapeamento de CNAEs e alíquotas diferenciadas,"A empresa mapeou todos os seus CNAEs e identificou se há alíquotas diferenciadas de IBS/CBS aplicáveis?",cnae;aliquota;diferenciada;mapeamento,[],solaris,SOL-021,juridico,alta,
Imposto Seletivo — produtos afetados,"A empresa comercializa produtos sujeitos ao Imposto Seletivo (IS) conforme art. 409 da LC 214/2025?",is;imposto_seletivo;produtos,[],solaris,SOL-022,juridico,media,
Regime de transição 2026-2032,"A empresa tem plano de transição documentado para o período 2026-2032 conforme cronograma da LC 214/2025?",transicao;cronograma;planejamento,[],solaris,SOL-023,negocio,alta,
Benefícios fiscais — revisão de contratos,"Os contratos com benefícios fiscais de ICMS/ISS foram revisados considerando a extinção gradual prevista na LC 214/2025?",beneficios_fiscais;icms;iss;contratos,[],solaris,SOL-024,juridico,critica,
Cashflow — impacto da não-cumulatividade plena,"A empresa realizou projeção de cashflow considerando o impacto da não-cumulatividade plena do IBS/CBS?",cashflow;nao_cumulatividade;projecao;ibs;cbs,[],solaris,SOL-025,negocio,alta,
